DATETIME,RECIPE,TOOL,INDEX,VALUE,X,Y,REFERANCE,SUBSTANCE,SUBSTANCE_X_LENGTH,SUBSTANCE_Y_LENGTH,SUBSTANCE_PERIMETER,SUBSTANCE_AREA,SUBSTANCE_ELONGATION,FILE
STRING,STRING,STRING,STRING,STRING,DOUBLE,DOUBLE,STRING,STRING,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,STRING
2018.02.23 10:09:42 731,1,BLOB,1,75,1144.20666666667,569.873333333333,D(0),알수없음,10,15,61.2,75,1.71,.\Image\NG\2018\02\23\알수없음\10-09-42 731.bmp
2018.02.23 10:09:42 788,1,BLOB,1,252,1140.42857142857,439.361111111111,D(0),알수없음,20,62,195.7,252,86.44,.\Image\NG\2018\02\23\알수없음\10-09-42 788.bmp
2018.02.23 10:09:42 900,1,BLOB,1,23835,1082.00220264317,509.23916509335,D(0),알수없음,138,200,768,23835,2.16,.\Image\NG\2018\02\23\알수없음\10-09-42 900.bmp
2018.02.23 10:09:43 509,1,BLOB,1,10931,1082.08000182966,570.806376360809,D(0),알수없음,144,81,438.3,10931,3.19,.\Image\NG\2018\02\23\알수없음\10-09-43 509.bmp
2018.02.23 10:09:43 726,1,BLOB,1,16489,1074.41097095033,543.592728485657,D(0),알수없음,131,177,711,16489,1.16,.\Image\NG\2018\02\23\알수없음\10-09-43 726.bmp
2018.02.23 10:09:43 783,1,BLOB,1,14462,1077.94938459411,464.38120591896,D(0),알수없음,133,112,461.6,14462,1.5,.\Image\NG\2018\02\23\알수없음\10-09-43 783.bmp
2018.02.23 10:09:43 898,1,BLOB,1,75,1144.20666666667,569.873333333333,D(0),알수없음,10,15,61.2,75,1.71,.\Image\NG\2018\02\23\알수없음\10-09-43 898.bmp
2018.02.23 10:09:43 965,1,BLOB,1,252,1140.42857142857,439.361111111111,D(0),알수없음,20,62,195.7,252,86.44,.\Image\NG\2018\02\23\알수없음\10-09-43 965.bmp
2018.02.23 10:26:57 417,1,BLOB,1,23835,1082.00220264317,509.23916509335,D(0),알수없음,138,200,768,23835,2.16,.\Image\NG\2018\02\23\알수없음\10-26-57 417.bmp
2018.02.23 10:26:57 520,1,BLOB,1,10931,1082.08000182966,570.806376360809,D(0),알수없음,144,81,438.3,10931,3.19,.\Image\NG\2018\02\23\알수없음\10-26-57 520.bmp
